sig	state	n_sig_genes	obs	null_mean	null_sd	z	emp_p
C4_UP	MES	2192	0.5659437024961592	0.5135619485812255	0.0064732943103016	8.09197780974869	0.0476190476190476
C4_UP	AC	2192	0.5587287604304164	0.5143508702258988	0.0059649141397426	7.439820450866051	0.0476190476190476
C4_UP	OPC	2192	0.5597251071780508	0.5122991116944291	0.006413906089162	7.394245382507313	0.0476190476190476
C4_UP	NPC	2192	0.554245290919774	0.5119572998589329	0.0061475021532803	6.878889995715709	0.0476190476190476
C4_UP	Cycling	2192	0.5563393248993082	0.5132763428771412	0.0057922810052325	7.434546421913174	0.0476190476190476
C4_DOWN	MES	2349	0.5737665924824784	0.5085770133918536	0.0075545005016233	8.629237509034049	0.0476190476190476
C4_DOWN	AC	2349	0.5709709734852584	0.5086879239792854	0.0076279120213104	8.165150480494544	0.0476190476190476
C4_DOWN	OPC	2349	0.5630187633744801	0.5075166642450527	0.0077978572179691	7.117609053103672	0.0476190476190476
C4_DOWN	NPC	2349	0.5696139903149195	0.5071547848989468	0.0080662179442998	7.74330743940666	0.0476190476190476
C4_DOWN	Cycling	2349	0.5762658041588283	0.5085641412934588	0.0076539063150338	8.845373862545138	0.0476190476190476
C4_UP_CCDEP	MES	2149	0.5659823405969983	0.5145771388870544	0.0071248659828951	7.214900860360596	0.0476190476190476
C4_UP_CCDEP	AC	2149	0.5589967762700006	0.5144913243587067	0.007203941435383	6.177930832793793	0.0476190476190476
C4_UP_CCDEP	OPC	2149	0.5597509015054123	0.5131749482850984	0.0073829939994922	6.308545452362198	0.0476190476190476
C4_UP_CCDEP	NPC	2149	0.5540803811255461	0.5130806650185639	0.0074801946023661	5.48110287050728	0.0476190476190476
C4_UP_CCDEP	Cycling	2149	0.5555051902418406	0.514384011602445	0.00695437470224	5.912994395621275	0.0476190476190476
C4_DOWN_CCDEP	MES	2212	0.5723946333552337	0.5079113696286102	0.0063444687580836	10.16369788951423	0.0476190476190476
C4_DOWN_CCDEP	AC	2212	0.5699060221211751	0.5087171152326999	0.0060121985423837	10.17745945299654	0.0476190476190476
C4_DOWN_CCDEP	OPC	2212	0.5601835146704487	0.5065346334714699	0.0062292786711772	8.612374567092528	0.0476190476190476
C4_DOWN_CCDEP	NPC	2212	0.5660134520057825	0.5067638198561861	0.0064760356873895	9.149058931989892	0.0476190476190476
C4_DOWN_CCDEP	Cycling	2212	0.5671553916570723	0.5079442634324457	0.0059088894230069	10.020686458284548	0.0476190476190476
C5_UP	MES	723	0.5940139671257212	0.5109824507407562	0.0116407371655399	7.132840060229438	0.0476190476190476
C5_UP	AC	723	0.5896768482048754	0.510889674692695	0.011182448188261	7.045610423206658	0.0476190476190476
C5_UP	OPC	723	0.5875338298365954	0.5100676776558577	0.0118407510525166	6.542334336492371	0.0476190476190476
C5_UP	NPC	723	0.5867938745437189	0.5091121944200829	0.0115482725203099	6.726692670874985	0.0476190476190476
C5_UP	Cycling	723	0.58268427238123	0.5106104113386774	0.011154982949375	6.461135921914634	0.0476190476190476
C5_DOWN	MES	915	0.5500899634836313	0.5074714618324836	0.0116926667206888	3.644891509285819	0.0476190476190476
C5_DOWN	AC	915	0.5412322523409362	0.5083811626552441	0.011771723429129	2.790678007640103	0.0476190476190476
