probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1000010642.hg.1	A1CF	29974	0.031901451973124	1.55829044364483	0.234706488442545	0.818127007613447	0.845138875759955	-7.73200549285598	0.0871792703824833
TC1200009847.hg.1	A2M	2	0.688814285879267	2.31122258382976	3.77646868103416	0.00234471879294914	0.00565064343746625	-2.60232554397818	2.62990923567539
TC1200006736.hg.1	A2ML1	144568	0.38579463089039	1.71282924701139	2.65976237945303	0.0197736566652309	0.0345517963413215	-4.73026306100684	1.70391301087423
TC0100013650.hg.1	A3GALT2	127550	1.26712687362435	2.27261959108181	5.06024755173484	0.00022490346354204	0.0007800612667744	-0.189712251768348	3.64800385632242
TC2200008888.hg.1	A4GALT	53947	-0.758473902759703	2.61904150933766	-3.83013863954913	0.00211857397645539	0.00519169967064854	-2.4991130223059	-2.6739563666852
TC0300012566.hg.1	A4GNT	51146	0.21419069798855	1.57675829001203	1.567966452232	0.141123238343333	0.18662450035588	-6.55156790927112	0.850401466378186
TC1200010798.hg.1	AAAS	8086	-1.28251294513777	3.18498349287471	-7.59634090670828	4.15469991892964e-06	2.50470368283322e-05	3.9885236621832	-5.38146033848861
TC1200009303.hg.1	AACS	65985	0.132267339497405	3.09361487788012	0.69962027623636	0.496608039778237	0.552986689336547	-7.50319089806637	0.303986253764419
TC0500013029.hg.1	AACSP1	729522	0.57770762285331	2.67509741192225	2.81445865005812	0.0147316414035677	0.0269647039343628	-4.44263681488986	1.83174886124987
TC0300009192.hg.1	AADAC	13	0.314944056921842	1.41046092007906	1.89586826568971	0.0806390212497963	0.115188312953699	-6.0569016855648	1.09345475208397
TC0300009189.hg.1	AADACL2	344752	0.387113780595476	1.6366438907058	2.96256829671266	0.0110992296792014	0.0211966675386533	-4.16371349808394	1.95470716154498
TC0100006903.hg.1	AADACL3	126767	0.342304769600922	1.5052349468277	2.42151318941601	0.0309768715984451	0.0507245339611011	-5.16344540397825	1.50896244442498
TC0100006900.hg.1	AADACL4	343066	0.548987523547287	1.77548541723294	4.09192209166053	0.0012963211327854	0.00341197243749296	-1.99743789845355	2.88728739898972
TC0400012396.hg.1	AADAT	51166	0.392845223895099	1.66456222293707	2.42422457526156	0.0308202453952657	0.050510648104393	-5.15859515623133	1.51116390768815
TC1500009845.hg.1	AAGAB	79719	-3.57555327318105	3.50157717453825	-20.4590127384081	3.343276577027e-11	1.23004528894164e-09	16.2162570849579	-10.4758276943293
TC0200012961.hg.1	AAK1	22848	-0.377473516207967	2.51125271637711	-1.70350566088879	0.112467440449057	0.153323166785469	-6.354215619466	-0.94897318848553
TC1100008541.hg.1	AAMDC	28971	-1.97722740525211	3.59479634450887	-12.3880123830541	1.58088967092056e-08	1.98534915762859e-07	9.84674403532001	-7.80109843808951
TC0200015720.hg.1	AAMP	14	-0.356795182550731	2.17172921958146	-1.50928757158434	0.155363754965665	0.202647403874381	-6.63357867170125	-0.808650290904394
TC1700008946.hg.1	AANAT	15	0.224668462593093	2.37261396024153	1.44613236018336	0.172036173722915	0.221388277515729	-6.71938660285355	0.76438022520597
TC2000007243.hg.1	AAR2	25980	-1.28755101336609	4.41717372011747	-7.71454605633987	3.52141362961435e-06	2.17549909510531e-05	4.16248900623359	-5.45328295916485
TC0800008631.hg.1	AARD	441376	0.476121691524158	4.03910133377777	3.65756709970051	0.00293762567554516	0.00685118412183886	-2.83124221362004	2.53200354462548
TC1600010752.hg.1	AARS1	16	-0.976809753089398	3.53599845782497	-6.01066149669719	4.54622536764342e-05	0.000198629795148412	1.47741809540862	-4.34234903902506
TC0600011915.hg.1	AARS2	57505	0.357086545182875	2.0530183029334	2.75426595373617	0.0165226900880498	0.0296525030233654	-4.55505556971274	1.78191924301533
TC0400010768.hg.1	AASDH	132949	0.0656175167734987	1.50270418345017	0.518255797679608	0.613068202171636	0.662297812652758	-7.61859486044361	0.212491208712952
TC1100008955.hg.1	AASDHPPT	60496	-1.64731849738602	2.22189680652686	-8.64766544240074	1.01100401414457e-06	7.33223548266591e-06	5.475924409416	-5.99524712005947
TC0700012439.hg.1	AASS	10157	-0.0260842231963794	1.95252192217302	-0.120358059839005	0.906056996908412	0.921305347580045	-7.75378459050114	-0.0428444815017566
TC1700007658.hg.1	AATF	26574	-0.506698690155376	4.48560768731175	-2.39820970027698	0.0323548538696861	0.052701660787377	-5.20504759757835	-1.49006055732322
TC1700012015.hg.1	AATK	9625	0.739231684553975	3.77000798064234	4.26585558068028	0.000938761247121865	0.00260608327016504	-1.66638312522356	3.02744484675613
TC1600006826.hg.1	ABAT	18	0.697268423039724	2.62758319244055	4.03900337957118	0.00143092876622561	0.00371803538082072	-2.09856075057757	2.84438198553104
TC0900011072.hg.1	ABCA1	19	0.593598734401817	1.88371890769868	3.3888539623979	0.004904216592468	0.0105977532716442	-3.34881064038695	2.30943035765023
TC1700012459.hg.1	ABCA10	10349	0.29760721229325	1.52345247730346	1.81070500354587	0.0935678052092253	0.130912111142573	-6.19086461747766	1.0288735575137
TC0200015645.hg.1	ABCA12	26154	0.629776104657259	1.57166026591317	3.18600823280894	0.00723305998582226	0.0147343723649151	-3.73819740244446	2.14067793316037
TC0700007479.hg.1	ABCA13	154664	0.716080991444577	1.96407258752116	4.02232494088069	0.00147626621287456	0.00381686972820905	-2.13046600251091	2.83083531977755
TC0900012025.hg.1	ABCA2	20	0.683278801812322	2.58087238265878	3.81438781632792	0.00218253085970582	0.00532395761210672	-2.52939387843779	2.66103960690982
TC1600009105.hg.1	ABCA3	21	0.232747251302236	2.14466255833824	1.35144298637639	0.1998165817366	0.251705570831932	-6.84302702520073	0.699368474779226
TC0100014977.hg.1	ABCA4	24	0.761217891903062	2.90776176649842	4.88283006024389	0.000307309110924335	0.00101130808725754	-0.513630150452803	3.51242456383894
TC1700012460.hg.1	ABCA5	23461	0.398395648582592	1.39311471825993	2.75591865372349	0.0164707722541683	0.0295684370087263	-4.55197702627121	1.7832860378757
TC1700011578.hg.1	ABCA6	23460	0.324839759562915	1.60502722439194	1.98879606643187	0.0684005457719485	0.100067901039575	-5.9068199032526	1.16494043300503
TC1900006508.hg.1	ABCA7	10347	1.68329963441475	3.63396488856594	6.0141835150409	4.52042766185207e-05	0.000197661479089894	1.48337200006671	4.34482047616284
TC1700011574.hg.1	ABCA8	10351	0.501281207366328	2.03505660967733	3.22987744243546	0.00664966986936224	0.0137530712063053	-3.65417055147416	2.17719991521918
TC1700011575.hg.1	ABCA9	10350	0.0920111751614787	1.60118899921879	0.80970349370468	0.432817555979399	0.491228774817327	-7.41763317360385	0.363695131657625
TC0700011706.hg.1	ABCB1	5243	0.319662157624184	1.93888638370896	2.01314484773916	0.0654885995128367	0.0963981122924864	-5.86686131458367	1.18383429694867
TC0100017666.hg.1	ABCB10	23456	0.136055660005087	1.81521175527898	0.938129034976211	0.36544012058031	0.424831171475032	-7.30370300112279	0.437183774470805
TC0200014848.hg.1	ABCB11	8647	0.234905474975735	1.53958115045972	1.3676559909358	0.194813855312703	0.246179304336172	-6.82229674489135	0.710380158998113
TC0700011705.hg.1	ABCB4	5244	0.676923611660376	1.49669250877844	4.16126191655722	0.00113939695395277	0.00305573720467762	-1.86520509692679	2.94332494591433
TC0700006852.hg.1	ABCB5	340273	-3.32179197247503	3.4284522785987	-20.2447561248919	3.81413746027358e-11	1.36450767641287e-09	16.0824558179201	-10.4186036591761
TC0200016774.hg.1	ABCB6	10058	0.448261328728304	1.87774961793806	2.96338864334319	0.0110818116238776	0.0211678640046092	-4.16216056166107	1.95538923654444
TC0X00010099.hg.1	ABCB7	22	-0.749216192931976	1.94856147170084	-3.73759350854407	0.00252379594781096	0.00601608697396389	-2.67713767224285	-2.59794576128293
TC0700009690.hg.1	ABCB8	11194	0.316772280793038	2.2752016080734	1.6987043968975	0.113387936280585	0.154369065121067	-6.3613867619316	0.945433149018699
TC1200012256.hg.1	ABCB9	23457	0.66689544266671	2.91554199957344	3.36616559764063	0.00512181511320713	0.0109843398349798	-3.39245465250327	2.29057610270538
TC1600007022.hg.1	ABCC1	4363	1.24707295233726	2.90621878107363	5.49127937292814	0.000107236250920857	0.000414330883371776	0.581058561116665	3.96965837776306
TC0600008087.hg.1	ABCC10	89845	-0.0414038230415814	3.31181195111234	-0.223984995006857	0.82628319478086	0.852463147260256	-7.73463986585034	-0.082871079977621
