probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1000010642.hg.1	A1CF	29974	0.0662111998790187	1.477709719362	0.58376365531047	0.568506652590511	0.63848023592803	-7.6065727353986	0.245264448889272
TC1200009847.hg.1	A2M	2	0.323344695432628	2.2254253912434	2.17194723691094	0.0472106745350119	0.0772515063753273	-5.61029246732117	1.32595979442702
TC1200006736.hg.1	A2ML1	144568	0.293273091030456	1.68529945750878	1.84058119495336	0.0866028371590062	0.129832627895689	-6.16324961737065	1.06246788001132
TC0100013650.hg.1	A3GALT2	127550	1.11714153629807	2.25704963910275	5.88498196983149	3.69636814592052e-05	0.000162833041995193	1.58085392381465	4.43222478101805
TC2200008888.hg.1	A4GALT	53947	0.4128858176178	1.91860238415199	3.37226346542468	0.00446004443611786	0.01023585280439	-3.32328290837368	2.35066081432269
TC0300012566.hg.1	A4GNT	51146	0.236366665531243	1.63540488077162	1.73236787483265	0.104790303922144	0.15270358952402	-6.33190533332697	0.979678900061446
TC1200010798.hg.1	AAAS	8086	-1.17350835113932	2.88090069379618	-6.2792996062953	1.86872201048018e-05	9.10549869945263e-05	2.29018232944159	-4.72845529909941
TC1200009303.hg.1	AACS	65985	0.233645046778446	2.78113754619469	1.07324742987667	0.301002014494425	0.374757018595518	-7.19480452694136	0.521430597825143
TC0500013029.hg.1	AACSP1	729522	0.0599394483875217	2.47951568585247	0.352515412693623	0.729612052055997	0.780688888067342	-7.72037322559096	0.136908000751207
TC0300009192.hg.1	AADAC	13	0.368410690802142	1.59274841960348	2.37042810582597	0.0323856640730927	0.0559282152237879	-5.25703044700355	1.4896471932427
TC0300009189.hg.1	AADACL2	344752	0.302109599476375	1.52575236597241	2.07824421513331	0.0562236539937202	0.0896630258921496	-5.77173395629965	1.25008093287049
TC0100006903.hg.1	AADACL3	126767	0.424846676716339	1.67001908373184	2.37861211777983	0.031880614221659	0.0552138365547288	-5.24216518730148	1.49647331994508
TC0100006900.hg.1	AADACL4	343066	0.335556179442377	1.82208750181959	2.24397943361481	0.0412165311080903	0.0687928952914589	-5.48377052236081	1.38492856238721
TC0400012396.hg.1	AADAT	51166	-0.0547553198353714	1.78232584149716	-0.403132695095974	0.692835127941345	0.748916403355354	-7.7001450331626	-0.159370100949817
TC1500009845.hg.1	AAGAB	79719	-3.86545195517957	3.55307274445177	-27.6438341024874	8.7793281745611e-14	8.77577771096109e-12	22.0524173000621	-13.0565387165819
TC0200012961.hg.1	AAK1	22848	-0.171036152344161	2.72211294204772	-0.877497968355659	0.39477248269681	0.4706216964986	-7.38588833897091	-0.403653127100239
TC1100008541.hg.1	AAMDC	28971	-1.17354844105031	3.78254991085756	-6.12233386134192	2.44537169076918e-05	0.000114219568631375	2.01031493853232	-4.61165511977904
TC0200015720.hg.1	AAMP	14	-0.269249256612609	2.43372022393514	-1.51420961216175	0.151838206211706	0.209411027122353	-6.65092301026818	-0.818618935560615
TC1700008946.hg.1	AANAT	15	0.377951140988827	2.5840303359176	2.32548409736945	0.0352970295170916	0.0602631670668887	-5.3382648936156	1.45226184188181
TC2000007243.hg.1	AAR2	25980	-1.60986791275092	4.36264465275463	-8.11465951363449	1.02908813628017e-06	7.26184202889219e-06	5.31771188168083	-5.9875474284825
TC0800008631.hg.1	AARD	441376	0.140883740488508	4.0915782838656	1.11208951572218	0.284512898269723	0.35741908196902	-7.15297370142872	0.545898040269294
TC1600010752.hg.1	AARS1	16	-0.357486123543393	3.29440205176678	-1.54290319600312	0.144769463448692	0.201285448310226	-6.61067755164262	-0.83932303519901
TC0600011915.hg.1	AARS2	57505	0.363782108721404	2.12793747581451	1.78617845993944	0.0953623313961511	0.140913392844019	-6.24884772220435	1.02062313994332
TC0400010768.hg.1	AASDH	132949	0.0882155835648619	1.54239155489562	0.608867996146975	0.552196927354854	0.622948519059422	-7.59096927139101	0.25790601427869
TC1100008955.hg.1	AASDHPPT	60496	-0.893665447256231	1.81120895628604	-4.98625194090106	0.000189407806762914	0.000673393050260527	-0.110413630628916	-3.72260212478268
TC0700012439.hg.1	AASS	10157	0.223848571648735	2.08379705776949	1.11332476129229	0.28399982797721	0.356922960288082	-7.15162285568042	0.546681923011311
TC1700007658.hg.1	AATF	26574	-1.65538605324977	4.25885787978972	-11.0684365966234	2.19371487761403e-08	2.4535135256046e-07	9.34573790563158	-7.6588198193892
TC1700012015.hg.1	AATK	9625	0.0728907275293431	3.54356156715812	0.598946859492379	0.558611974824891	0.629063162007702	-7.59721035702816	0.252889758673271
TC1600006826.hg.1	ABAT	18	1.18354532013649	2.94475700806568	4.88282255630318	0.000230148204775204	0.000798093142264915	-0.31111231948456	3.63799240838358
TC0900011072.hg.1	ABCA1	19	0.779813313116157	1.99457136998388	4.76091207635687	0.000290043502268516	0.000976714488875239	-0.549077010033212	3.53753685941734
TC1700012459.hg.1	ABCA10	10349	0.246772420502354	1.49385969359451	1.80134037576694	0.0928451986851982	0.13772535910589	-6.22515333075273	1.03224055006571
TC0200015645.hg.1	ABCA12	26154	0.714831005017812	1.67384515895512	5.82380267603265	4.11692851272869e-05	0.000178810174652684	1.46894686098428	4.38542667412396
TC0700007479.hg.1	ABCA13	154664	1.19253553584012	2.13594747999468	7.11943638386719	4.69155672360503e-06	2.7361376181488e-05	3.73149921217762	5.32868302843773
TC0900012025.hg.1	ABCA2	20	0.435022188470561	2.59206579741045	2.55223165768349	0.0227771302527472	0.041357512651392	-4.92190926915812	1.6425009946514
TC1600009105.hg.1	ABCA3	21	0.286588581825336	2.12751923741546	2.26656344155431	0.0394890452049712	0.066214471173479	-5.44369447437628	1.40352336682626
TC0100014977.hg.1	ABCA4	24	0.715675065095261	2.55837245949196	3.17209686841474	0.00666207525710264	0.0144698045256941	-3.72223146218809	2.1763904656767
TC1700012460.hg.1	ABCA5	23461	0.346870428917432	1.48009771560348	2.3297540656574	0.0350101405312285	0.0598372335242377	-5.33057674657243	1.45580614596691
TC1700011578.hg.1	ABCA6	23460	0.406180437750661	1.7353685129149	2.65719960084234	0.0185452101446438	0.0346237532529507	-4.72420368380669	1.73176824110905
TC1900006508.hg.1	ABCA7	10347	2.17100656939845	3.39946288555568	8.88502852627949	3.45410744959789e-07	2.77031644386776e-06	6.46050175884172	6.46166415662333
TC1700011574.hg.1	ABCA8	10351	0.186909634991653	2.07891932314537	1.30810679141697	0.211548974381609	0.277690583906801	-6.92333578601709	0.67458907584669
TC1700011575.hg.1	ABCA9	10350	0.0356904081934704	1.70393910606259	0.284366173179596	0.780220929726547	0.823183036799964	-7.74339264332906	0.10778240375144
TC0700011706.hg.1	ABCB1	5243	-0.123983645090538	2.0352823788087	-1.00333078874224	0.332437913514792	0.407534288103297	-7.26689200085163	-0.47828945212228
TC0100017666.hg.1	ABCB10	23456	0.391842491477224	1.7377465779384	2.83381392866281	0.0130838764756381	0.0257482279600553	-4.38576651150546	1.88326356468478
