ensg_versioned	py_baseMean	py_log2FC	py_lfcSE	py_stat	py_pvalue	py_padj	r_baseMean	r_log2FC	r_lfcSE	r_stat	r_pvalue	r_padj	log2FC_diff_py_minus_r	py_sig005	r_sig005	ensg_unversioned	hgnc_symbol	gene_biotype
ENSG00000000003.15	160.87360196312292	-0.3391558249000768	0.5769835795903441	-0.5878084522628461	0.5566608700904765	0.7981714883877485	160.873601963123	-0.339152940201281	0.577578422557298	-0.587198079006553	0.557070682394257	0.806895193792094	-2.8846987957797943e-06	False	False	ENSG00000000003	TSPAN6	protein_coding
ENSG00000000005.6	0.0						0.0							False	False	ENSG00000000005	TNMD	protein_coding
ENSG00000000419.14	271.398571227287	-0.5991729000511037	0.4303069019371404	-1.3924315351526275	0.1637917605930843	0.4267007882452708	271.398571227287	-0.599193456596794	0.430742464530383	-1.3910712454368	0.164203823381083	0.441976184241276	2.0556545690331163e-05	False	False	ENSG00000000419	DPM1	protein_coding
ENSG00000000457.14	80.79507877974348	1.4416186937989894	0.9074932241695084	1.5885724051750196	0.1121569623038589	0.3399761932667005	80.7950787797435	1.44164538474441	0.908620107436745	1.5866316108845	0.112596103685204	0.355066188964054	-2.6690945420515533e-05	False	False	ENSG00000000457	SCYL3	protein_coding
ENSG00000000460.17	106.7978351099365	-0.7641128329950894	0.6502056853629208	-1.1751863297974543	0.2399201781095511	0.5280281617311967	106.797835109937	-0.764121168241281	0.650628787417008	-1.17443492052486	0.240220864890256	0.542362786880773	8.335246191593093e-06	False	False	ENSG00000000460	FIRRM	protein_coding
ENSG00000000938.13	0.0						0.0							False	False	ENSG00000000938	FGR	protein_coding
ENSG00000000971.17	159.52596115113778	1.0021434750822291	0.6450179583407418	1.5536675562648905	0.120263735777889	0.3552782289062248	159.525961151138	1.00213260450238	0.645755024825634	1.55187736212037	0.120691570532789	0.37064466987334	1.0870579849164841e-05	False	False	ENSG00000000971	CFH	protein_coding
ENSG00000001036.14	762.5236467708647	-0.6014078368475576	0.2193207317013265	-2.742138566574553	0.0061040585479322	0.0461448359055733	762.523646770865	-0.601418107313956	0.219595749772736	-2.7387511276351	0.0061673039366723	0.049177824620028	1.0270466398343281e-05	True	True	ENSG00000001036	FUCA2	protein_coding
ENSG00000001084.13	240.3486637573058	0.832575076460863	0.4415252031191007	1.8856796182397704	0.059338141076705	0.2311687748017708	240.348663757306	0.832546765794144	0.441925442543109	1.88390774924196	0.0595774548537539	0.243063720799453	2.8310666719044697e-05	False	False	ENSG00000001084	GCLC	protein_coding
ENSG00000001167.15	514.757103057497	-0.0966680324347705	0.3357907653000567	-0.2878817478747209	0.7734372588348108	0.9118328905974614	514.757103057497	-0.0966820771461753	0.336242003350447	-0.287537179123361	0.773701038436979	0.915373349605413	1.4044711404800903e-05	False	False	ENSG00000001167	NFYA	protein_coding
ENSG00000001460.18	20.120038176562968	-2.5339258285827677	1.5510891488291716	-1.633642934382903	0.1023338471326706	0.3216436484563029	20.120038176563	-2.53389402216268	1.5522973849017	-1.63235089281758	0.102605587793463	0.33631882858885	-3.1806420087932e-05	False	False	ENSG00000001460	STPG1	protein_coding
ENSG00000001461.17	250.31787326686973	-0.1755749082610976	0.4349463260140662	-0.4036702870216209	0.6864551920263249	0.8697543917081098	250.31787326687	-0.175564760978784	0.435340181366367	-0.403281774789898	0.686740947609779	0.875825343099874	-1.014728231357731e-05	False	False	ENSG00000001461	NIPAL3	protein_coding
ENSG00000001497.18	496.246647854333	-0.2594895525653105	0.3451048384213354	-0.7519151390410298	0.4521020933298427	0.7264053957933735	496.246647854333	-0.259473817776136	0.345600984973501	-0.750790157024671	0.45277895407151	0.736928825030381	-1.5734789174493002e-05	False	False	ENSG00000001497	LAS1L	protein_coding
ENSG00000001561.7	11.421612316271458	0.932573850535674	2.691082690244444	0.3465422500454505	0.7289352379270859	0.8880230834641629	11.4216123162715	0.932487992791813	2.69566935700255	0.345920760040353	0.729402266450868	0.892221957292436	8.58577438609398e-05	False	False	ENSG00000001561	ENPP4	protein_coding
ENSG00000001617.12	0.0						0.0							False	False	ENSG00000001617	SEMA3F	protein_coding
ENSG00000001626.18	0.0						0.0							False	False	ENSG00000001626	CFTR	protein_coding
ENSG00000001629.10	713.7584455117204	-0.2269853777419376	0.19004898857578	-1.194351937587027	0.2323403290447142	0.5187608669343456	713.758445511721	-0.226989213428385	0.190146979890994	-1.19375660638161	0.232573190519946	0.532958471315727	3.83568644737875e-06	False	False	ENSG00000001629	ANKIB1	protein_coding
ENSG00000001630.18	1030.5020955829643	1.0573021016968636	0.2037565490179749	5.189045980571603	2.1137420316344162e-07	8.990149619653613e-06	1030.50209558296	1.05730620046537	0.204102284446181	5.1802761705206	2.21557634829096e-07	1.01008127637388e-05	-4.098768506377581e-06	True	True	ENSG00000001630	CYP51A1	protein_coding
ENSG00000001631.17	147.40785014572086	-1.8870057553325543	0.8038541132726668	-2.3474480308997103	0.0189025098898456	0.1051657938784635	147.407850145721	-1.88700730846461	0.805004270259354	-2.34409602306414	0.019073260206549	0.111905790918429	1.5531320556316786e-06	False	False	ENSG00000001631	KRIT1	protein_coding
ENSG00000002016.18	27.78442796996519	0.9769819932919704	1.6124871218862349	0.6058851447750657	0.5445910246023247	0.7910788131693479	27.7844279699652	0.977031176987618	1.61440983157048	0.605194020676381	0.545050088284774	0.799608743928698	-4.9183695647547765e-05	False	False	ENSG00000002016	RAD52	protein_coding
ENSG00000002079.14	7.19890184951729	-0.4500078729165352	3.2160812538481327	-0.1399242859234629	0.8887198126606699	0.962900219787902	7.19890184951729	-0.45029801744069	2.97912959133825	-0.151150865927391	0.879856708186143	0.960540472324877	0.0002901445241547673	False	False	ENSG00000002079		
ENSG00000002330.14	231.4902317046699	-0.5929254647808518	0.5869024564950651	-1.0102623668024082	0.3123696061861503	0.6038944320755458	231.49023170467	-0.592915426608198	0.587742630242953	-1.00880112501471	0.313070021432879	0.618384986213053	-1.0038172653881183e-05	False	False	ENSG00000002330	BAD	protein_coding
ENSG00000002549.13	499.1675748879573	0.4194857879379177	0.301125835856691	1.3930581105553346	0.1636022189572591	0.4266280003482905	499.167574887957	0.419487553141145	0.301464557048602	1.39149874614784	0.16407423959919	0.441976184241276	-1.7652032273107743e-06	False	False	ENSG00000002549	LAP3	protein_coding
ENSG00000002586.20	406.6223548743675	0.2193964377856024	1.4080728085613496	0.1558132764524891	0.876180205349152	0.9588167367991464	406.622354874368	0.219393539640761	1.4081765965696	0.155799734333901	0.876190880039355	0.959410840609535	2.89814484139006e-06	False	False	ENSG00000002586	CD99	protein_coding
ENSG00000002586.20_PAR_Y	401.4585264007824	-0.6675929927801135	0.9971797256463802	-0.669481113193887	0.5031886246719816	0.763630517192141	401.458526400782	-0.667593415272817	0.997148958426992	-0.669502193860734	0.503175181713076	0.772679240925495	4.2249270348904133e-07	False	False	ENSG00000002586.20_PAR_Y		
ENSG00000002587.10	0.2800433340978019	0.6007136278022461	6.323136113836836	0.0950024824687408	0.9243128551162976		0.280043334097802	0.600725533815079	6.07077258545856	0.0989537205287525	0.921175015353288		-1.1906012832851864e-05	False	False	ENSG00000002587	HS3ST1	protein_coding
ENSG00000002726.21	0.0						0.0							False	False	ENSG00000002726	AOC1	protein_coding
ENSG00000002745.13	0.0824765710147355	0.1832655078964562	6.540674326008113	0.0280193598950073	0.977646710244784		0.0824765710147354	0.183251652347709	6.11399464870043	0.0299724914523209	0.976088991951639		1.3855548747221391e-05	False	False	ENSG00000002745	WNT16	protein_coding
ENSG00000002746.15	73.3896736055483	-4.233420865166562	0.8831109290028433	-4.793758888191647	1.6368498807933256e-06	5.474617511906004e-05	73.3896736055483	-4.23354288531398	0.884140879234394	-4.78831256957595	1.68189544692605e-06	5.90592185606372e-05	0.00012202014741813372	True	True	ENSG00000002746	HECW1	protein_coding
ENSG00000002822.16	349.4926725535483	0.5489333391825931	0.499842969262268	1.098211584315728	0.2721121089437356	0.5621828939095957	349.492672553548	0.548966179553762	0.500699412648403	1.09639868888612	0.2729043374949	0.576696398488188	-3.284037116890737e-05	False	False	ENSG00000002822	MAD1L1	protein_coding
ENSG00000002834.18	3266.9025403458154	0.2780566262281488	0.1888370866894368	1.4724683117222792	0.1408944580304957	0.3921656901768752	3266.90254034582	0.27806824412144	0.189564767871015	1.46687724330001	0.142409452095698	0.40850755235095	-1.1617893291182568e-05	False	False	ENSG00000002834	LASP1	protein_coding
ENSG00000002919.15	51.33091685646173	2.1128145330127004	1.1032414769784242	1.9150970817370927	0.0554801239300364	0.2211355429134037	51.3309168564617	2.11281502543748	1.10430342280554	1.91325588765248	0.055715301963265	0.23350705531278	-4.924247796189718e-07	False	False	ENSG00000002919	SNX11	protein_coding
ENSG00000002933.9	0.0382224936887791	-0.2214022896310305	6.55593536165165	-0.0337712740314834	0.9730595428761236		0.0382224936887792	-0.221385780259067	6.11482280628124	-0.036204774410087	0.97111907905828		-1.650937196351343e-05	False	False	ENSG00000002933	TMEM176A	protein_coding
ENSG00000003056.8	974.4514110329468	1.7381127315880245	0.254431380653069	6.8313614740708255	8.411248984017501e-12	8.407043359525491e-10	974.451411032947	1.73813369887396	0.254940807175608	6.81779318944692	9.244959723808569e-12	1.00383215157099e-09	-2.0967285935480362e-05	True	True	ENSG00000003056	M6PR	protein_coding
ENSG00000003096.15	58.38125331202782	-0.4053117654152132	0.8697814495480667	-0.4659926532415825	0.641220759294518	0.8452680488904826	58.3812533120278	-0.405296226961106	0.870332295945106	-0.465679866011394	0.641444666144574	0.851810030243163	-1.5538454107177913e-05	False	False	ENSG00000003096	KLHL13	protein_coding
ENSG00000003137.9	62.33226378190104	-0.3713081247206831	0.8779491068200304	-0.4229267070679953	0.6723487365700609	0.862502371729452	62.332263781901	-0.371296518159646	0.878615572498222	-0.422592689888157	0.672592460997306	0.868758169060048	-1.1606561037103003e-05	False	False	ENSG00000003137	CYP26B1	protein_coding
ENSG00000003147.19	0.0						0.0							False	False	ENSG00000003147	ICA1	protein_coding
ENSG00000003249.15	78.66916852863754	0.1740727060204122	1.0520103152420852	0.1654667292690521	0.8685766350316625	0.9561129332285048	78.6691685286376	0.174087000002421	1.05333461360806	0.165272267476438	0.868729685972877	0.956929563789016	-1.4293982008806161e-05	False	False	ENSG00000003249	DBNDD1	protein_coding
ENSG00000003393.16	377.415606130407	0.9767220427206974	0.3490195324074007	2.7984738733206407	0.0051344723083633	0.0410787141286042	377.415606130407	0.976722463551648	0.349437405457204	2.79512853603553	0.0051879083865534	0.0435454371700288	-4.2083095064260334e-07	True	True	ENSG00000003393	ALS2	protein_coding
ENSG00000003400.16	22.615133672097578	-1.6455855618817132	1.7265731382656178	-0.9530934574452732	0.3405427207501398	0.6322368085897552	22.6151336720976	-1.64562820378553	1.72845156047893	-0.952082338558304	0.341055225304357	0.645119994320728	4.264190381686461e-05	False	False	ENSG00000003400	CASP10	protein_coding
ENSG00000003402.21	372.98497347922216	0.3137460457323868	0.2790330472783024	1.12440461369245	0.2608414156805867	0.5503217849166397	372.984973479222	0.313743189469569	0.279102090740727	1.12411622799709	0.260963721754499	0.565246516201929	2.856262817818589e-06	False	False	ENSG00000003402	CFLAR	protein_coding
ENSG00000003436.16	2181.60777658303	-1.421671237869021	0.1870485351432144	-7.6005472952809425	2.948809679686714e-14	4.688942482710931e-12	2181.60777658303	-1.42167353428936	0.187552272874293	-7.58014559088944	3.45167403307801e-14	5.8716810496027e-12	2.2964203389985727e-06	True	True	ENSG00000003436	TFPI	protein_coding
ENSG00000003509.16	126.83118791538372	-0.5617987037381584	0.5109806683807041	-1.0994519724562115	0.2715709718535508	0.5616453752803335	126.831187915384	-0.561795177436143	0.511095922735928	-1.09919714175926	0.271682085197626	0.575943804785585	-3.526302015388616e-06	False	False	ENSG00000003509	NDUFAF7	protein_coding
ENSG00000003756.17	748.8183589035181	0.8150266867003555	0.2998045391023564	2.7185268413234294	0.0065573335196317	0.0487808442000034	748.818358903518	0.815033514996842	0.300339672179414	2.71370581542743	0.0066535223165314	0.0521317434319842	-6.828296486460772e-06	True	False	ENSG00000003756	RBM5	protein_coding
ENSG00000003987.14	0.0						0.0							False	False	ENSG00000003987	MTMR7	protein_coding
ENSG00000003989.18	0.1094959267007522	-1.375532931617969	6.555135548642274	-0.2098405016053215	0.8337921610254351		0.109495926700752	-1.37548896709892	6.11482280628124	-0.224943389313914	0.822023314349351		-4.396451904886689e-05	False	False	ENSG00000003989	SLC7A2	protein_coding
