probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1000010642.hg.1	A1CF	29974	-0.022435993042353	1.5311217211371	-0.191640313391866	0.850754052573675	0.874127123249401	-7.81559181548877	-0.0701959734620179
TC1200009847.hg.1	A2M	2	0.402113938103445	2.16787240994184	2.12681843892687	0.0515484238710324	0.0748931333028481	-5.73808063149387	1.28778460903377
TC1200006736.hg.1	A2ML1	144568	0.392908511214024	1.71638618717321	2.59875019312806	0.0209231626661921	0.0338982165255093	-4.88580780391221	1.67937266853032
TC0100013650.hg.1	A3GALT2	127550	1.5557249315321	2.41691862003568	6.57219752842985	1.19691061092042e-05	4.99122739268638e-05	2.7181880364854	4.92193828287146
TC2200008888.hg.1	A4GALT	53947	-0.804406432284626	2.5960752445752	-3.66694812453878	0.00250774986495743	0.00529413860379901	-2.78911578416992	-2.60071578430316
TC0300012566.hg.1	A4GNT	51146	0.295490734249212	1.61740830814236	2.55696170272145	0.0226979847937711	0.036471574289808	-4.96405695063736	1.64401269927363
TC1200010798.hg.1	AAAS	8086	-1.29222394415612	3.18012799336554	-9.26484497375699	2.23482379636399e-07	1.46698754706279e-06	6.88651441953698	-6.65075671292734
TC1200009303.hg.1	AACS	65985	0.155345830474169	3.10515412336851	0.980449924579673	0.343374773305508	0.398685429875879	-7.33806216650188	0.464231614290564
TC0500013029.hg.1	AACSP1	729522	0.343786255852765	2.55813672842198	2.30273580534547	0.0370229079485998	0.0560445322762919	-5.42919434008983	1.43152947276755
TC0300009192.hg.1	AADAC	13	0.587489892602547	1.54673383791942	3.47872756692468	0.00364893681825846	0.007349503159614	-3.16607686177386	2.43783365642687
TC0300009189.hg.1	AADACL2	344752	0.235360769102835	1.56076738495948	1.88550760435045	0.0801180156394935	0.110591903702198	-6.14043080813505	1.0962698158374
TC0100006903.hg.1	AADACL3	126767	0.52725851338201	1.59771181871824	3.76633419239258	0.00205836349387351	0.00445013080748465	-2.58983465441712	2.68647792916357
