gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	contrast
ENSG00000000003.15	160.87360196312292	0.2843318568959769	0.38565443671702876	0.7372710640033513	0.4609575252043122	0.6298226298286724	C4
ENSG00000000005.6	0.0						C4
ENSG00000000419.14	271.398571227287	0.02465678787360858	0.28783962238760863	0.08566154884821738	0.9317354693042953	0.9624991988698793	C4
ENSG00000000457.14	80.79507877974348	1.107095977315543	0.6037310944321213	1.8337567627801161	0.0666901085217391	0.15517464185075733	C4
ENSG00000000460.17	106.7978351099365	-0.4190646282726805	0.43521083312526243	-0.9629002689647325	0.33559757459850714	0.509190169081867	C4
ENSG00000000938.13	0.0						C4
ENSG00000000971.17	159.52596115113778	0.5711826595504913	0.42963635149884305	1.3294560796772554	0.18369754668737925	0.33266610104415273	C4
ENSG00000001036.14	762.5236467708647	-0.3975317221827443	0.14665816285392191	-2.7106007224344113	0.006716144680547217	0.023656538523267826	C4
ENSG00000001084.13	240.34866375730581	0.9007903880048891	0.2939283219690675	3.0646600571539575	0.0021791753530833184	0.009007370137147008	C4
ENSG00000001167.15	514.757103057497	-0.3010397021266744	0.22433991701343162	-1.3418909400267391	0.17963135977868627	0.32734627070757405	C4
ENSG00000001460.18	20.120038176562968	-1.6739552040724115	1.0467034375247817	-1.5992640742930386	0.10976193852664798	0.22737007435910347	C4
ENSG00000001461.17	250.31787326686973	-0.7659821632904148	0.29028713841576514	-2.6387051368198517	0.008322333222919358	0.02842992464405523	C4
ENSG00000001497.18	496.246647854333	-1.9227377515689135	0.23094259293179892	-8.325609092545042	8.389623077516255e-17	3.204995438377528e-15	C4
ENSG00000001561.7	11.421612316271458	3.1826770878376816	1.8013814338843346	1.7667979851301383	0.0772620662847328	0.17371813393783833	C4
ENSG00000001617.12	0.0						C4
ENSG00000001626.18	0.0						C4
ENSG00000001629.10	713.7584455117204	0.3885974341274726	0.126724605951388	3.0664718284982473	0.0021660121826671233	0.008957565938245138	C4
ENSG00000001630.18	1030.5020955829643	1.8490219080268786	0.1355152854768878	13.6443789460358	2.1806332850424208e-42	6.744447139103318e-40	C4
ENSG00000001631.17	147.40785014572086	-0.31524661256730296	0.539460750968778	-0.5843735841785982	0.5589689950874639	0.7123175946010668	C4
ENSG00000002016.18	27.78442796996519	-0.12930168795702737	1.0748350107477374	-0.12029910327081293	0.9042462144407425	0.9480074145136542	C4
ENSG00000002079.14	7.19890184951729	-7.244661511043068	2.3537656997504106	-3.077902576204284	0.002084630545932412	0.008674544132013191	C4
ENSG00000002330.14	231.4902317046699	-0.9017422123150698	0.39268510695027076	-2.29634940657239	0.02165591128417034	0.06310781322401007	C4
ENSG00000002549.13	499.1675748879573	0.11330261565702471	0.2006414745151273	0.5647018689970916	0.5722765627767881	0.7230673233670424	C4
ENSG00000002586.20	406.6223548743675	-1.0789410894990195	0.9431080765400848	-1.1440269851757137	0.2526124459657919	0.4172158172992852	C4
ENSG00000002586.20_PAR_Y	401.45852640078243	0.14209075159228782	0.6680711004657893	0.21268806792154307	0.8315702742563448	0.9066531663851576	C4
ENSG00000002587.10	0.28004333409780197	2.093024271987504	4.193892938833117	0.4990647836064824	0.6177337458737027		C4
ENSG00000002726.21	0.0						C4
ENSG00000002745.13	0.08247657101473553	-1.5023452643000215	4.306771474228224	-0.34883329038702776	0.7272144692877319		C4
ENSG00000002746.15	73.3896736055483	-5.210070163362789	0.6304084723433104	-8.26459413528546	1.4017081607029151e-16	5.170567052427749e-15	C4
ENSG00000002822.16	349.4926725535483	-2.178755890527738	0.33395544313757264	-6.524091567599339	6.84149060110106e-11	1.175552279246884e-09	C4
ENSG00000002834.18	3266.9025403458154	-0.5106612540028582	0.12624977431829712	-4.044848846346405	5.2356893486623214e-05	0.0003300885605430659	C4
ENSG00000002919.15	51.33091685646173	0.653940858706379	0.7286173584451593	0.8975093046120435	0.36944721064997776	0.5429294123614393	C4
ENSG00000002933.9	0.03822249368877916	0.05649585259473888	4.329917975319384	0.013047788183694547	0.9895896666405881		C4
ENSG00000003056.8	974.4514110329467	1.0774777818071184	0.1690709047777511	6.3729343805399035	1.8544524489651e-10	3.0035406582785195e-09	C4
ENSG00000003096.15	58.38125331202782	0.009354458187951626	0.5809501620469537	0.01610199772557347	0.9871530197677811	0.9935490067015266	C4
ENSG00000003137.9	62.332263781901034	0.1560363981874696	0.5867714830898999	0.2659236222009157	0.7902980320188535	0.879001607811841	C4
ENSG00000003147.19	0.0						C4
