symbol	source
CENPF	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CENPM	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHAF1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHEK1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHEK2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CHMP1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CIT	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CKS1B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CKS2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CNOT9	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CSE1L	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CTCF	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CTPS1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CUL1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CUL3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CUL4A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
CUL5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DBF4	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DCK	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DCLRE1B	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DCTPP1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DDX39A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DEK	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DEPDC1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
