gene	tier	baseMean	log2FC	lfcSE	stat	pvalue	padj
ENSG00000276903.2	top30_by_padj	1529.9917257566294	-2.942202256869112	0.1426608644425143	-20.623751779204184	1.6801076170329137e-94	2.350974588514156e-90
ENSG00000070669.17	top30_by_padj	842.9281787406944	-3.0838456225544006	0.1887159626677274	-16.341201766721415	5.025257023628978e-60	3.5159210765820146e-56
ENSG00000275713.3	top30_by_padj	1230.2474330409111	-2.748619497330513	0.1724368785358221	-15.93985880902798	3.3511009000066927e-57	1.5630651631264546e-53
ENSG00000287080.2	top30_by_padj	2134.37202845243	-2.8918169012478168	0.1863170196832228	-15.520948682865892	2.5032256021855594e-54	8.756908962845635e-51
ENSG00000276368.2	top30_by_padj	2081.9238352299485	-2.9237700307550574	0.1932150783240379	-15.132204257121431	9.931236546094712e-52	2.7793558597900657e-48
ENSG00000196866.3	top30_by_padj	1117.4526731997903	-2.822802584253779	0.1959019909696754	-14.40925929482122	4.5253758030319545e-47	1.0553930601971022e-43
ENSG00000080824.19	top30_by_padj	39459.79978950258	0.9145778920521774	0.0659358013553495	13.870732944052952	9.529800147549564e-44	1.905007049495158e-40
ENSG00000176171.12	top30_by_padj	3273.1404509987524	-3.1156872627193417	0.2294829714565431	-13.576986749578303	5.483636660311675e-42	9.591565973467658e-39
ENSG00000106105.15	top30_by_padj	3670.2755121980526	-1.5400011406922098	0.1147470542106218	-13.420833774656115	4.5654757878683797e-41	7.098300299960249e-38
ENSG00000253729.9	top30_by_padj	7895.537916735206	-1.384029542971423	0.1035004799932481	-13.372204100519244	8.789710189220923e-41	1.2299441467776838e-37
ENSG00000277224.3	top30_by_padj	989.6113365905816	-3.01464933554907	0.2363238734289743	-12.75643163683632	2.870521837824992e-37	3.6515647342441013e-34
ENSG00000278588.2	top30_by_padj	936.0011787821244	-2.888371198367849	0.2268677682266347	-12.731518544681258	3.95079645203279e-37	4.6069578961079025e-34
ENSG00000129038.16	top30_by_padj	1878.0659672373836	-2.290630379947057	0.182719863214731	-12.536296490410162	4.725692809017526e-36	5.086663036660173e-33
ENSG00000135069.14	top30_by_padj	1348.7859309876917	-1.7045526576198555	0.1392908549715234	-12.237362301841952	1.9630910751957012e-34	1.9621095296581026e-31
