contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	GOBP	prerank	spliceosomal complex assembly (GO:0000245)	-0.6309675379016234	-1.928671225145013	0.0	0.0213160827161833	0.169	14/44	7.49%	DDX23;PUF60;PRPF6;LUC7L3;SNRNP200;SNRPD1;SF3A1;RBM5;LUC7L2;YTHDC1;SF1;SRPK2;SRSF6;SF3A2
C1	GOBP	prerank	cellular response to heat (GO:0034605)	-0.6565498088710675	-1.9256967641002596	0.0	0.020682562775317718	0.177	13/36	5.75%	HSP90AA1;HSP90AB1;HSPA1B;STUB1;IER5;BAG3;SLU7;YWHAE;HSPA1A;TPR;MAPT;PDCD6;DAXX
C1	GOBP	prerank	mRNA cis splicing, via spliceosome (GO:0045292)	-0.7938945724819602	-1.922828765523835	0.0	0.02032543143610427	0.187	6/15	3.15%	SART1;DDX23;CACTIN;SNRNP200;SFSWAP;PSIP1
C1	GOBP	prerank	muscle filament sliding (GO:0030049)	-0.7008216403972766	-1.9184130398690076	0.0	0.01895901587737457	0.197	9/27	9.24%	TPM3;TPM1;TPM4;MYL6;TNNT1;TPM2;MYH3;DES;MYL6B
C1	GOBP	prerank	actin-myosin filament sliding (GO:0033275)	-0.7008216403972766	-1.9184130398690076	0.0	0.01895901587737457	0.197	9/27	9.24%	TPM3;TPM1;TPM4;MYL6;TNNT1;TPM2;MYH3;DES;MYL6B
C1	GOBP	prerank	ribonucleoprotein complex assembly (GO:0022618)	-0.5234748368548536	-1.9150810142468935	0.0	0.019129817822215782	0.21	42/132	10.27%	HSP90AA1;HSP90AB1;EIF3A;SART1;DDX23;PUF60;PRPF6;LUC7L3;SNRNP200;SART3;SNRPD1;RPL3;RBM5;LUC7L2;BOP1;ISY1;EIF4B;RPS15;NOP2;PPAN;RRP7A;YTHDC1;SF1;SNRPB;RRS1;LSM4;RPL11;ABT1;RPSA;TRAF7;SRPK2;CPSF7;SRSF6;SNRPF;SF3A2;RPS5;CLP1;PRMT7;GEMIN6;PWP2;XAB2;RPL23A
C1	GOBP	prerank	rRNA metabolic process (GO:0016072)	-0.5081858678847475	-1.9084156822468423	0.0	0.01991977681710639	0.231	62/160	11.79%	RRP1;RPL19;EBNA1BP2;RPL13A;PES1;NOP14;DKC1;DDX27;DDX54;TRIR;NOLC1;RPL35;RPLP2;RRP12;PELP1;RPL3;DDX49;BMS1;RPL22;DHX37;BOP1;RPS15;PDCD11;RRP7A;LAS1L;UTP18;RPL8;UTP14A;LYAR;MPHOSPH10;UTP3;RPL14;RPL13;FBL;NOP58;RPL7A;MRTO4;DDX10;RPL11;MAPT;ESF1;RPS16;WDR43;IMP4;NOP56;WDR46;SBDS;RPS9;NOL6;RRP9;RRP1B;PWP2;RPL28;DEDD2;RPL36A;RPL23A;RPL4;EXOSC2;TBL3;PIH1D2;EXOSC4;RRP36
C1	GOBP	prerank	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	-0.6784296540285095	-1.8972656422279492	0.0	0.021581328089348477	0.258	15/30	11.79%	KRI1;NOP14;BMS1;DHX37;UTP3;RRS1;NGDN;ABT1;RPS16;WDR46;TSR2;PWP2;RPP40;TBL3;RRP36
C1	GOBP	prerank	keratinocyte differentiation (GO:0030216)	0.6734095834887978	1.8956346279835325	0.0	0.17178226195933838	0.267	21/29	26.01%	CLIC4;TXNIP;ANXA1;UGCG;ASAH1;CASP3;OPN3;BCR;MED1;WNT5A;EXPH5;PIP5K1A;JAG1;ST14;EREG;CSTA;EVPL;KRT16;AKR1C3;SPRR2B;CERS3
C1	GOBP	prerank	phosphatidylinositol dephosphorylation (GO:0046856)	0.6970798447095602	1.8833999574042275	0.0	0.13560903776960045	0.311	11/22	11.85%	MTMR4;PTEN;OCRL;MTMR6;PIP4P2;SYNJ1;MTMR1;SACM1L;INPP5F;MTMR12;MTMR2
