contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	REACTOME	prerank	Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895	-0.5057824165901547	-1.2214174378707794	0.2184873949579832	0.2904558285242439	1.0	12/15	24.84%	PPP1R15A;ATF4;CEBPG;ATF3;EIF2S1;CHAC1;TRIB3;ATF5;GRB10;DDIT3;EIF2S2;EIF2S3
C1	REACTOME	prerank	Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938	0.4731594188295675	1.220814154959846	0.1910569105691057	0.4476306225463693	1.0	5/18	4.29%	B2M;AP1G1;AP2B1;AP1S2;PACS1
C1	REACTOME	prerank	Transcriptional Regulation By RUNX2 R-HSA-8878166	-0.3449097937591381	-1.220281032835494	0.10256410256410256	0.29148963362102476	1.0	36/113	14.89%	PSME1;PSMD4;PSMD7;PSMC3;COL1A1;STUB1;PSMA7;PSMD2;UBB;AKT1;PSMD9;PSMB8;PSMC5;PSMD8;HDAC4;SRC;PSMC2;DLX5;PSMC4;ITGBL1;PPARGC1B;NKX3-2;PSMD6;CCND1;GLI2;UBC;SEM1;HEY2;FBXW7;PPARGC1A;PSMB6;AKT2;CDK4;SMAD6;PSMD14;PSMD3
C1	REACTOME	prerank	SHC1 Events In ERBB2 Signaling R-HSA-1250196	0.44709089656329115	1.2193497705001655	0.19175257731958764	0.44870520595104746	1.0	8/21	12.16%	NRAS;EGFR;PRKCA;PTPN12;NRG1;SOS1;PRKCE;SHC1
C1	REACTOME	prerank	EPHB-mediated Forward Signaling R-HSA-3928662	-0.415166564737596	-1.219034046731959	0.17153996101364521	0.2925234492528702	1.0	13/34	18.49%	ACTG1;HRAS;ITSN1;PKN1;SRC;FYN;ARPC1B;VPS72;ROCK1;LIMK1;GPRIN1;PTK2;LIMK2
C1	REACTOME	prerank	Defects In Vitamin And Cofactor Metabolism R-HSA-3296482	0.46970663779330374	1.2150998657262153	0.18997912317327767	0.45689012761502423	1.0	10/19	25.04%	MMADHC;LMBRD1;MMACHC;MMAB;HLCS;MCCC2;MTR;ACACA;PCCA;MMUT
C1	REACTOME	prerank	ISG15 Antiviral Mechanism R-HSA-1169408	0.3594330390336674	1.214885085884076	0.14285714285714285	0.45489406342188	1.0	28/73	16.87%	EIF4G2;NEDD4;RPS27A;ARIH1;POM121;EIF2AK2;NUP153;NDC1;RANBP2;NUP43;KPNA2;NUP133;NUP35;EIF4A2;NUP155;NUP160;KPNA4;UBE2N;POM121C;NUP214;HERC5;NUP58;EIF4E3;JAK1;STAT1;NUP54;KPNA3;NUP107
C1	REACTOME	prerank	Muscle Contraction R-HSA-397014	-0.32609945222747566	-1.2140794344208432	0.099609375	0.2996949644301988	1.0	21/156	9.84%	TPM3;TPM1;TPM4;CALD1;MYL6;VCL;MYLK;TLN1;TNNT1;PKN1;TPM2;MYL12A;ITPR3;DMPK;CACNA1C;MYH3;ANXA6;DES;MYL6B;ASPH;ATP2B1
C1	REACTOME	prerank	Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825	-0.34778234656706125	-1.2140365268293627	0.12318840579710146	0.29880462653636747	1.0	28/91	14.42%	EPN1;COPS6;UBB;CLTA;ITSN1;AP2M1;CLTB;GPS1;GRK2;NECAP2;HGS;EPS15L1;ITSN2;LDLR;IGF2R;M6PR;SH3GL1;ARRB1;COPS7A;SH3KBP1;DVL2;UBC;GRB2;FZD4;TGOLN2;BTC;NLRP3;TOR1A
C1	REACTOME	prerank	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	0.3179316689328495	1.213916978543541	0.07272727272727272	0.45474980693062417	1.0	39/142	18.15%	MAPK1;GABRA3;NRAS;RPS6KA3;AP2B1;GNG10;PRKCA;CALM1;DLG1;GNB4;KPNA2;GNG4;GNG5;PRKAG2;GNG2;GNAI3;CHRNA9;RPS6KA1;GNG12;NBEA;PRKAA1;NPTN;MDM2;NRG1;PRKAB2;PRKAR2A;NRGN;NSF;PPM1E;ARHGEF7;GABBR2;PDPK1;TSPAN7;MYO6;CASK;LIN7C;RPS6KA2;ADCY8;PRKAA2
