figure	panel	plotted_metric	source_file	plotted_value
FigS1	AB	cells/malignant	C2_4_QC_*	BT1160|335|335
FigS1	AB	cells/malignant	C2_4_QC_*	BT1187|219|8
FigS1	AB	cells/malignant	C2_4_QC_*	BT749|317|315
FigS1	AB	cells/malignant	C2_4_QC_*	BT771|339|328
FigS1	AB	cells/malignant	C2_4_QC_*	BT786|212|209
FigS1	AB	cells/malignant	C2_4_QC_*	BT830|220|220
FigS1	AB	cells/malignant	C2_4_QC_*	BT85|245|244
FigS1	AB	cells/malignant	C2_4_QC_*	BT920|301|288
FigS1	AB	cells/malignant	C2_4_QC_*	MGH100|209|209
FigS1	AB	cells/malignant	C2_4_QC_*	MGH101|200|153
FigS1	AB	cells/malignant	C2_4_QC_*	MGH102|312|206
FigS1	AB	cells/malignant	C2_4_QC_*	MGH104|355|355
FigS1	AB	cells/malignant	C2_4_QC_*	MGH105|634|396
FigS1	AB	cells/malignant	C2_4_QC_*	MGH106|200|136
FigS1	AB	cells/malignant	C2_4_QC_*	MGH110|359|301
FigS1	AB	cells/malignant	C2_4_QC_*	MGH113|260|214
FigS1	AB	cells/malignant	C2_4_QC_*	MGH115|165|160
FigS1	AB	cells/malignant	C2_4_QC_*	MGH121|297|292
FigS1	AB	cells/malignant	C2_4_QC_*	MGH122|273|200
FigS1	AB	cells/malignant	C2_4_QC_*	MGH124|370|327
FigS1	AB	cells/malignant	C2_4_QC_*	MGH125|399|332
FigS1	AB	cells/malignant	C2_4_QC_*	MGH128|184|159
FigS1	AB	cells/malignant	C2_4_QC_*	MGH129|192|190
FigS1	AB	cells/malignant	C2_4_QC_*	MGH136|231|229
FigS1	AB	cells/malignant	C2_4_QC_*	MGH143|274|273
FigS1	AB	cells/malignant	C2_4_QC_*	MGH151|163|121
FigS1	AB	cells/malignant	C2_4_QC_*	MGH152|229|228
FigS1	AB	cells/malignant	C2_4_QC_*	MGH66|436|435
FigS1	AB	cells/malignant	C2_4_QC_*	BT322|3066|7
FigS1	AB	cells/malignant	C2_4_QC_*	BT324-GSC|5078|14
FigS1	AB	cells/malignant	C2_4_QC_*	BT326-GSC|2462|9
FigS1	AB	cells/malignant	C2_4_QC_*	BT333|536|536
FigS1	AB	cells/malignant	C2_4_QC_*	BT333-GSC|4540|19
FigS1	AB	cells/malignant	C2_4_QC_*	BT338_1of2|1072|679
FigS1	AB	cells/malignant	C2_4_QC_*	BT338_2of2|930|4
FigS1	AB	cells/malignant	C2_4_QC_*	BT346|1705|1705
FigS1	AB	cells/malignant	C2_4_QC_*	BT363-GSC|7213|94
FigS1	AB	cells/malignant	C2_4_QC_*	BT363_1of2|3882|3321
FigS1	AB	cells/malignant	C2_4_QC_*	BT363_2of2|5377|84
FigS1	AB	cells/malignant	C2_4_QC_*	BT364_2of2|3366|37
FigS1	AB	cells/malignant	C2_4_QC_*	BT368|2208|2208
FigS1	AB	cells/malignant	C2_4_QC_*	BT368-GSC|4454|60
FigS1	AB	cells/malignant	C2_4_QC_*	BT389|972|972
FigS1	AB	cells/malignant	C2_4_QC_*	BT390|4692|1116
FigS1	AB	cells/malignant	C2_4_QC_*	BT397_1of2|3081|327
FigS1	AB	cells/malignant	C2_4_QC_*	BT397_2of2|3001|56
FigS1	AB	cells/malignant	C2_4_QC_*	BT400|4279|4279
FigS1	AB	cells/malignant	C2_4_QC_*	BT402|1048|1048
FigS1	AB	cells/malignant	C2_4_QC_*	BT407|110|6
FigS1	AB	cells/malignant	C2_4_QC_*	BT409|940|940
FigS1	AB	cells/malignant	C2_4_QC_*	HFA567_cd133|3779|127
FigS1	AB	cells/malignant	C2_4_QC_*	HFA567_total|7237|196
FigS1	AB	cells/malignant	C2_4_QC_*	HFA570_cd133|1999|61
FigS1	AB	cells/malignant	C2_4_QC_*	HFA570_total|10256|281
FigS1	AB	cells/malignant	C2_4_QC_*	HFA571_cd133|7716|202
FigS1	AB	cells/malignant	C2_4_QC_*	HFA571_total|3619|114
FigS1	AB	cells/malignant	C2_4_QC_*	NSC1_cd133|1717|41
