figure	panel	plotted_metric	source_file	plotted_value
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C4_UP|MES|0.5659437024961592|0.5135619485812255
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C4_DOWN|MES|0.5737665924824784|0.5085770133918536
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C5_UP|MES|0.5940139671257212|0.5109824507407562
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C5_DOWN|MES|0.5500899634836313|0.5074714618324836
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C5_STABLE_UP|MES|0.5955997918519134|0.512384854613982
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	C5_STABLE_DOWN|MES|0.5551821521922189|0.5126691689726526
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_shared_antiproliferative|MES|0.6590782402805947|0.5194618036847614
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_shared_ER_UPR|MES|0.6347020950767157|0.5219394909744989
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_HSF1_heat_shock|MES|0.6294534313036729|0.5037472304379007
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_cholesterol_SREBP|MES|0.5535855741839969|0.5077495185098714
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_autophagy_lysosome|MES|0.6157028849929086|0.5083042774405829
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_TNF_NFkB|MES|0.591804576073124|0.5182067578621098
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_p53_apoptosis|MES|0.6091596911154473|0.5070855229870816
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	M_RIGI_typeI_IFN|MES|0.5904403743007789|0.5090145516234447
