figure	panel	plotted_metric	source_file	plotted_value
Fig4	A	Layer A discovery patients/malignant cells	C2_4_QC_NEFTEL_SS2.tsv (Adult rows)	20|4916
Fig4	A	Layer A replication samples/patients/malignant/core-state	FINAL Fig4 legend / C2_3_10 report	12|11|18252|8505
Fig4	A	Layer B CNV pool cells	C2_LAYERB_CNV_QC.tsv	208
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_UP|Discovery=0.0063001132886795885;LayerA=0.0036980562678251006
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_UP|Discovery=-0.0002801268122806408;LayerA=0.007496509191590001
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_UP|Discovery=0.0019329834830561405;LayerA=-0.00032072519546195115
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_UP|Discovery=-0.004843361509720149;LayerA=-0.0010381944097928334
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_UP|Discovery=-0.0015676709620223272;LayerA=-0.005491280395286306
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_DOWN|Discovery=0.0014256921598261986;LayerA=-0.00045385875508173744
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_DOWN|Discovery=-0.0028750230212382217;LayerA=-0.013030153798265805
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_DOWN|Discovery=-0.005576232820627451;LayerA=-0.008014841329724702
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_DOWN|Discovery=-0.0009541533835340935;LayerA=-0.006682412137798663
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	C4_DOWN|Discovery=0.00686583599617428;LayerA=0.017536508527428205
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative|Discovery=-0.00983607670280557;LayerA=-0.009762895839144924
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative|Discovery=-0.01742198081356645;LayerA=-0.03736762430648539
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative|Discovery=-0.007348136344247663;LayerA=-0.01218259162797722
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative|Discovery=-0.0008002516693982331;LayerA=-0.025300352823652374
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative|Discovery=0.03415613396383847;LayerA=0.04982885613708392
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR|Discovery=0.01079199451843381;LayerA=0.008072518152576546
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR|Discovery=-0.006656674653590252;LayerA=-0.017206021647361115
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR|Discovery=-0.0040746524137913005;LayerA=-0.00973718297928916
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR|Discovery=-0.004281471953492155;LayerA=-0.009885026704139144
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR|Discovery=0.005332764491822966;LayerA=0.02128262401463513
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP|Discovery=0.00983038123409729;LayerA=0.019920402473907556
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP|Discovery=0.016604737236585978;LayerA=0.02168936426952206
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP|Discovery=0.005262624525556074;LayerA=-0.005832344264646037
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP|Discovery=-0.023121235169773893;LayerA=-0.017948938146047866
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP|Discovery=-0.003273548258937997;LayerA=-0.008532904366808062
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB|Discovery=0.027131517385528128;LayerA=0.02138316736130184
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB|Discovery=0.003194173021310794;LayerA=0.01859329190273998
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB|Discovery=-0.007299492977876808;LayerA=-0.007926005319579564
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB|Discovery=0.0007626720804578171;LayerA=0.013602910998876071
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB|Discovery=-0.0224572892618419;LayerA=-0.021510708476379606
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis|Discovery=0.01620031490158995;LayerA=0.016272848271346296
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis|Discovery=0.002463939323357446;LayerA=0.011090055188346614
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis|Discovery=-0.010652222135050321;LayerA=-0.008045139135938618
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis|Discovery=-0.008293416111287866;LayerA=-0.010656018990625666
Fig4	B	mean patient-level AUC delta	C2_ss2_state_tests_unified.tsv / C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis|Discovery=-0.004388719736606555;LayerA=-0.000775254099720114
