figure	panel	plotted_metric	source_file	plotted_value
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|C4_DOWN|-0.3220298879953703
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_shared_antiproliferative|0.0082486366138995
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_shared_ER_UPR|0.2369242532019981
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_cholesterol_SREBP|0.327139822930607
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_TNF_NFkB|0.3892567787516728
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_p53_apoptosis|0.2871851753613927
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_RIGI_typeI_IFN|0.2012491510233936
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_shared_antiproliferative|0.2967911698395284
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_shared_ER_UPR|0.3849822568912788
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_cholesterol_SREBP|0.2872072788943411
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_TNF_NFkB|0.2624668949358797
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_p53_apoptosis|0.2698856443581737
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_RIGI_typeI_IFN|0.0600537919615479
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_shared_ER_UPR|0.4677323583665892
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_cholesterol_SREBP|0.2180900337179348
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_TNF_NFkB|-0.1492556132926628
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_p53_apoptosis|-0.0750520437730328
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_RIGI_typeI_IFN|-0.1690754494050131
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_ER_UPR|M_cholesterol_SREBP|0.6352881898814047
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_ER_UPR|M_TNF_NFkB|0.575655369751918
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_ER_UPR|M_p53_apoptosis|0.6242047751668819
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_ER_UPR|M_RIGI_typeI_IFN|0.2865195576078351
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_cholesterol_SREBP|M_TNF_NFkB|0.5880805693870088
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_cholesterol_SREBP|M_p53_apoptosis|0.6647542087136147
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_cholesterol_SREBP|M_RIGI_typeI_IFN|0.4155032170687501
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_TNF_NFkB|M_p53_apoptosis|0.8997579663142159
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_TNF_NFkB|M_RIGI_typeI_IFN|0.6149504278038332
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_p53_apoptosis|M_RIGI_typeI_IFN|0.6233703667980823
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|C4_DOWN|0.4613260785075787
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_shared_antiproliferative|0.4909436455499416
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_shared_ER_UPR|0.7682806062961524
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_cholesterol_SREBP|0.8168682471822775
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_TNF_NFkB|0.4596556548775748
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_p53_apoptosis|0.4692001554605518
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_UP|M_RIGI_typeI_IFN|0.4415258453167508
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_shared_antiproliferative|0.5134131364166343
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_shared_ER_UPR|0.5426575981344735
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_cholesterol_SREBP|0.4077745821997668
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_TNF_NFkB|0.5557636999611348
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_p53_apoptosis|0.4690726778080062
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	C4_DOWN|M_RIGI_typeI_IFN|0.4291667314418966
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_shared_ER_UPR|0.7329335406140692
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv/Q1_architecture	M_shared_antiproliferative|M_cholesterol_SREBP|0.4460085503303537
