figure	panel	plotted_metric	source_file	plotted_value
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:OPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_DOWN:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_UP:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_DOWN:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_UP:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C5_STABLE_UP:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_autophagy_lysosome:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_UP:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_RIGI_typeI_IFN:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_HSF1_heat_shock:NPC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_p53_apoptosis:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	C4_DOWN:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_ER_UPR:Cycling
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_TNF_NFkB:MES
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_cholesterol_SREBP:AC
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv | C2_couturier_layerA_state_tests_all.tsv	M_shared_antiproliferative:Cycling
