figure	panel	plotted_metric	source_file	plotted_value
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C4_UP|0.0037/0.0075|0.0062/0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C4_DOWN|0.0175|0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C5_UP|0.0042|0.0563
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C5_STABLE_UP|0.0047|0.0563
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C5_DOWN|0.0010|0.495
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	C5_STABLE_DOWN|0.0011|0.549
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_shared_antiproliferative|0.0498|0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_shared_ER_UPR|0.0213|0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_shared_ER_UPR|0.0081|0.110
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_HSF1_heat_shock|-0.0002|1.000
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_cholesterol_SREBP|0.0199/0.0217|0.0062/0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_autophagy_lysosome|0.0066|0.110
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_TNF_NFkB|0.0214/0.0186|0.0114/0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_p53_apoptosis|0.0163/0.0111|0.0062/0.0040
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_RIGI_typeI_IFN|0.0103|0.0089
Fig5	A	layerA_delta	C2_11_EVIDENCE_GRADES.tsv	M_RIGI_typeI_IFN|0.0005|0.604
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C4_DOWN=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C4_DOWN_CCDEP=1
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C4_UP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C4_UP_CCDEP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_DOWN=12
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_DOWN_CCDEP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_STABLE_DOWN=1
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_STABLE_DOWN_CCDEP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_STABLE_UP=1
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_STABLE_UP_CCDEP=1
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_UP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_C5_UP_CCDEP=0
Fig5	B	loo_flips_top	ss2_lopo.tsv	AUC_M_HSF1_heat_shock=0
