figure	panel	plotted_metric	source_file	plotted_value
Fig3	B	signed NES	C1_focus_pathways.tsv	Apoptosis|EMTAB_GIN28_DBS=-1.68*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|GSE_C4=1.33*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|GSE_C5=-1.61*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_U87MG_TTFields=-2.39*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_U87MG_DBS=1.71*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_KNS42_TTFields=-2.16*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_KNS42_DBS=-2.24*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_GIN28_TTFields=-2.18*
Fig3	B	signed NES	C1_focus_pathways.tsv	mTORC1 Signaling|EMTAB_GIN28_DBS=-2.23*
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|GSE_C4=1.43*
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|GSE_C5=1.55*
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_U87MG_TTFields=-1.41*
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_U87MG_DBS=1.027
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_KNS42_TTFields=-1.277
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_KNS42_DBS=-1.35*
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_GIN28_TTFields=-1.283
Fig3	B	signed NES	C1_focus_pathways.tsv	p53 Pathway|EMTAB_GIN28_DBS=-1.25
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|GSE_C4=1.59*
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|GSE_C5=1.127
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_U87MG_TTFields=-1.095
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_U87MG_DBS=1.159
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_KNS42_TTFields=-0.823
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_KNS42_DBS=-0.964
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_GIN28_TTFields=-0.908
Fig3	B	signed NES	C1_focus_pathways.tsv	Inflammatory Response|EMTAB_GIN28_DBS=-1.018
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|GSE_C4=1.83*
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|GSE_C5=1.90*
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_U87MG_TTFields=-1.133
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_U87MG_DBS=1.51*
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_KNS42_TTFields=-1.22
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_KNS42_DBS=-1.36*
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_GIN28_TTFields=-1.152
Fig3	B	signed NES	C1_focus_pathways.tsv	TNF-alpha Signaling via NF-kB|EMTAB_GIN28_DBS=-1.268
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|GSE_C4=1.90*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|GSE_C5=1.92*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_U87MG_TTFields=-1.82*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_U87MG_DBS=1.51*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_KNS42_TTFields=-1.65*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_KNS42_DBS=-1.65*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_GIN28_TTFields=-1.97*
Fig3	B	signed NES	C1_focus_pathways.tsv	Cholesterol Homeostasis|EMTAB_GIN28_DBS=-1.99*
