figure	panel	plotted_metric	source_file	plotted_value
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|MES|M_shared_ER_UPR|0.01079199451843381
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|AC|M_shared_ER_UPR|-0.006656674653590252
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|OPC|M_shared_ER_UPR|-0.0040746524137913005
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|NPC|M_shared_ER_UPR|-0.004281471953492155
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|Cycling|M_shared_ER_UPR|0.005332764491822966
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|MES|M_autophagy_lysosome|0.0075635953746057815
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|AC|M_autophagy_lysosome|0.0012136622401873625
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|OPC|M_autophagy_lysosome|-0.00429947625999579
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|NPC|M_autophagy_lysosome|-0.003009919603893969
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery core|Cycling|M_autophagy_lysosome|-0.006123869319359526
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|MES|M_shared_ER_UPR_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|AC|M_shared_ER_UPR_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|OPC|M_shared_ER_UPR_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|NPC|M_shared_ER_UPR_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|Cycling|M_shared_ER_UPR_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|MES|M_autophagy_lysosome_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|AC|M_autophagy_lysosome_CCDEP|None
FigS3	ABC	delta	M_shared_ER_UPR/M_autophagy_lysosome variants	Discovery CCDEP|OPC|M_autophagy_lysosome_CCDEP|None
