signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_DOWN	C5 stable	down	ENSG00000184743.13	ATL3	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000119326.15	CTNNAL1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000136379.12	ABHD17C	0	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000084693.16	AGBL5	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000169994.20	MYO7B	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000188157.15	AGRN	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000196139.14	AKR1C3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000259001.3		0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000168137.20	SETD5	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000106772.19	PRUNE2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000178104.22	PDE4DIP	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000088832.18	FKBP1A	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000104783.15	KCNN4	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000197746.15	PSAP	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000113312.12	TTC1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000123595.8	RAB9A	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000060656.20	PTPRU	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000189241.8	TSPYL1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000160256.13	SLX9	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000123374.11	CDK2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000244115.1	DNAJC25-GNG10	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000172757.13	CFL1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000135905.21	DOCK10	1	1	1
